# # masses,tags,x,y,z,vx,vy,vz,ax,ay,az
1.000000000000000056e-01,4.600000000000000000e+01,1.188748254815232608e+00,2.149280639558701356e-01,9.210821832652611452e-01,4.242636499394753513e-01,-1.137019182246671756e+00,-4.295082350951532901e-01,-2.355708786938018662e+00,2.749052060082013416e-02,-1.235632652642182805e+00
1.000000000000000056e-01,4.700000000000000000e+01,4.513550456609367045e-01,4.782461749307669319e-01,1.328974026588746638e+00,-9.738007187374796148e-02,2.096117486426567034e+00,3.308393926794435669e-01,-7.729013990360687758e-02,-1.102015604102467794e+00,-2.979785062836061815e+00
1.000000000000000056e-01,4.800000000000000000e+01,-2.305225328699292142e-01,-1.520352388707277402e+00,-1.328426117088554959e+00,2.306061780682567286e-01,-2.172170785821415873e+00,1.086847113654506369e+00,2.312554718155041822e-01,9.794740685830620741e-01,6.760460249875960281e-01
1.000000000000000056e-01,4.900000000000000000e+01,1.140317370176273881e+00,4.778359111302199480e-03,-2.004828144440695958e-01,1.226022149966394581e+00,1.534776105467894336e+00,-2.143315425300992061e+00,-3.461336804241929688e+00,8.113068848385941723e-02,1.274624493407419790e+00
1.000000000000000056e-01,5.000000000000000000e+01,6.056795788492859156e-01,-1.698553072840921940e+00,8.273050610139996985e-01,2.078124418243830984e+00,-5.014360740824438389e-01,7.459117775137624751e-01,-9.276125544446429672e-01,4.876594460763435279e+00,2.484382460763506106e+00
1.000000000000000056e-01,5.100000000000000000e+01,9.200297771103640443e-01,5.763281792234060778e-03,-2.087526787637946857e+00,-1.093741731277090734e+00,-2.739787062774188819e-01,-6.825557604258696287e-01,-4.248698146101339002e-01,-3.121288923013549876e-01,1.367869482028953421e+00
1.000000000000000056e-01,5.200000000000000000e+01,-2.571903187628270526e-01,8.492666826277393000e-01,6.501659853260361999e-01,8.359472001207443048e-01,1.352504954478197519e+00,-1.569840452189252833e-01,1.554005926734677745e+00,-1.944819987530795657e+00,-6.031374315142576936e-01
1.000000000000000056e-01,5.300000000000000000e+01,5.810599333885171358e-01,7.508845729924201740e-02,3.205272982260415349e-01,2.806263108599498679e+00,5.633646664189319829e-03,-5.331378998218931908e-01,-2.582773126865708146e+00,-6.318695695255552858e-01,-2.492315908333297081e+00
1.000000000000000056e-01,5.400000000000000000e+01,3.334472075214586773e-01,-4.211258888693315550e-01,1.327308910577846390e+00,-3.770661263890067172e-01,9.657933117741959173e-01,-1.704144073283412997e+00,-9.670593302595619223e-01,2.002973021807357590e+00,-3.533704386397090058e+00
1.000000000000000056e-01,5.500000000000000000e+01,1.655959367301456542e+00,1.003145208337643396e-01,4.638426543613654272e-03,7.475677400480187917e-02,7.032771027257386232e-01,1.952240565090864466e-01,-2.598471453381514973e+00,8.477965547164281190e-01,1.279463999227404170e+00
1.000000000000000056e-01,5.600000000000000000e+01,1.792087053644686900e+00,-1.563094845112838471e-01,-8.037443757391050658e-01,-6.900019567745625526e-01,-4.852809510824133143e-01,1.456968610423603261e+00,-1.371344946071866522e+00,2.761974706311215444e-01,8.746602004820680509e-01
1.000000000000000056e-01,5.700000000000000000e+01,2.030815075908969369e+00,1.212509694860557374e+00,1.099638815040767215e+00,1.331758754819652779e+00,6.768184123888015824e-01,-1.532557165064742044e+00,-1.085610857826745823e+00,-7.024595133941463621e-01,-6.168458118701427573e-01
1.000000000000000056e-01,5.800000000000000000e+01,-3.619645610159031301e-01,1.585376409684557286e+00,-7.776222808886684712e-01,7.206304384513596561e-01,-1.629771927327723635e-01,-1.048207066756014161e+00,5.563031179655809622e-01,-1.050457127129116541e+00,3.913736297737285819e-01
1.000000000000000056e-01,5.900000000000000000e+01,2.457425626321299461e+00,1.623095769094672125e+00,7.122275647925654929e-02,8.161896066317519960e-01,-8.692106066203333925e-02,-5.512004024393999391e-01,-7.217548714639919760e-01,-6.247190739473323928e-01,-8.938912025504751335e-02
1.000000000000000056e-01,6.000000000000000000e+01,1.587711031028052666e+00,2.215064009760000507e-01,2.384115811427933440e-01,-8.477592486475474809e-01,-1.234162507673761816e-01,9.876540424917923389e-02,-2.156021279559090953e+00,-2.779858461071182396e-01,-1.171409401154005048e+00
1.000000000000000056e-01,6.100000000000000000e+01,2.091741518051137394e+00,-6.127116140425822310e-01,-2.184879958670483457e+00,-4.353938588769129536e-02,4.560864936343533294e-01,-7.204185549335295757e-01,-6.151952161623478466e-01,1.633810308856299964e-01,7.130190530698687912e-01
1.000000000000000056e-01,6.200000000000000000e+01,-6.373716991197930781e-01,2.448716159132082737e+00,5.945447722002431545e-01,1.765134293364659379e-01,-4.034047313060802886e-01,-4.404795583808510662e-01,4.891116687810616592e-01,-9.134432035354118629e-01,-1.961743370451503321e-01
1.000000000000000056e-01,6.300000000000000000e+01,3.984624466212863259e-01,1.413104880913221395e+00,4.779420710428920749e-02,-2.325032844502082641e-01,-3.420967628955776663e-01,-4.027117258403486999e-01,4.239471193592831977e-01,-2.213993728435283526e+00,-6.705767458284604687e-02
1.000000000000000056e-01,6.400000000000000000e+01,-2.697123213050230950e-01,-1.986522750767011569e+00,2.425135344093325873e+00,1.031182721044820561e+00,-2.469635349547665726e+00,-5.173649891970402148e-01,1.448419565302871970e-01,6.032281011406503968e-01,-6.490380800740357392e-01
1.000000000000000056e-01,6.500000000000000000e+01,8.185209391469133733e-01,1.633525116467807459e-01,2.527454680471806991e+00,1.598814331699639046e+00,1.280038490497122483e+00,-1.560110146107174245e-01,-3.757079152418137946e-01,-8.052884533867623457e-03,-1.375342112108040027e+00
1.000000000000000056e-01,6.600000000000000000e+01,6.313563051961352812e-01,1.262243304977540490e-02,1.205481612830057447e-01,3.246102601432325763e-01,-1.457408114647078534e+00,-1.984832186731492421e+00,-4.102306984083406327e+00,-2.829850509639130207e-01,2.041665347465794422e+00
